	coll	measure	mfw	Cluster Errors	Adjusted Rand Index	Homogeneity	Completeness	V Measure	Purity	Entropy
ELTeC-eng_eders-d_4000	ELTeC-eng	eders-d	4000	3.0	0.6272493573264781	0.8580973755187419	0.9118725488847881	0.8841680643464178	0.8	0.14190262448125823
ELTeC-eng_cosine-d_4500	ELTeC-eng	cosine-d	4500	2.0	0.841337386018237	0.9397940008672035	0.9444397765749669	0.9421111613978133	0.9	0.06020599913279623
ELTeC-eng_burrows-d_4500	ELTeC-eng	burrows-d	4500	4.0	0.5676092544987147	0.8304539164243742	0.8824967318463836	0.8556847425036829	0.7666666666666667	0.16954608357562573
ELTeC-eng_eders-d_4500	ELTeC-eng	eders-d	4500	3.0	0.6272493573264781	0.8580973755187419	0.9118725488847881	0.8841680643464178	0.8	0.14190262448125823
ELTeC-eng_cosine-d_5000	ELTeC-eng	cosine-d	5000	2.0	0.841337386018237	0.9397940008672035	0.9444397765749669	0.9421111613978133	0.9	0.06020599913279623
ELTeC-eng_burrows-d_5000	ELTeC-eng	burrows-d	5000	4.0	0.5676092544987147	0.8304539164243742	0.8824967318463836	0.8556847425036829	0.7666666666666667	0.16954608357562573
ELTeC-eng_eders-d_5000	ELTeC-eng	eders-d	5000	3.0	0.6272493573264781	0.8580973755187419	0.9118725488847881	0.8841680643464178	0.8	0.14190262448125823
ELTeC-slv_cosine-d_0010	ELTeC-slv	cosine-d	0010	12.0	0.437392795883362	0.7881650017226298	0.8036455771802189	0.7958300140952751	0.6904761904761905	0.2118349982773703
ELTeC-slv_burrows-d_0010	ELTeC-slv	burrows-d	0010	11.0	0.3766081871345029	0.7460672846306335	0.8097004362965551	0.7765825164594505	0.6904761904761905	0.2539327153693666
ELTeC-slv_eders-d_0010	ELTeC-slv	eders-d	0010	12.0	0.35613521426670214	0.7571809962421856	0.7893925335541232	0.7729513191155878	0.6666666666666666	0.2428190037578145
ELTeC-slv_cosine-d_0020	ELTeC-slv	cosine-d	0020	13.0	0.38528995756718526	0.7678714948488166	0.7854085607889281	0.7765410280664866	0.6666666666666666	0.23212850515118338
ELTeC-slv_burrows-d_0020	ELTeC-slv	burrows-d	0020	10.0	0.45967316816025305	0.7989998799437357	0.8307019902599094	0.8145425891960855	0.7142857142857143	0.20100012005626447
ELTeC-slv_eders-d_0020	ELTeC-slv	eders-d	0020	9.0	0.4092219020172911	0.7735226629171877	0.8330226731847057	0.8021708469126697	0.6904761904761905	0.22647733708281223
ELTeC-slv_cosine-d_0030	ELTeC-slv	cosine-d	0030	14.0	0.32999472851871375	0.7375120041133874	0.7683865120321244	0.7526327575818516	0.6190476190476191	0.26248799588661265
ELTeC-slv_burrows-d_0030	ELTeC-slv	burrows-d	0030	12.0	0.39483394833948343	0.7692649039533214	0.7997872124788326	0.7842291874786521	0.6666666666666666	0.23073509604667872
ELTeC-slv_eders-d_0030	ELTeC-slv	eders-d	0030	9.0	0.3620689655172414	0.7636836742110217	0.8355276586635207	0.7979918840697047	0.6904761904761905	0.23631632578897832
ELTeC-slv_cosine-d_0040	ELTeC-slv	cosine-d	0040	11.0	0.47313084112149534	0.8076724547008469	0.817699582836839	0.8126550894504058	0.7380952380952381	0.19232754529915308
ELTeC-slv_burrows-d_0040	ELTeC-slv	burrows-d	0040	8.0	0.5007610350076104	0.8218346583757488	0.8606168362410258	0.8407787634503723	0.7619047619047619	0.1781653416242514
ELTeC-slv_eders-d_0040	ELTeC-slv	eders-d	0040	11.0	0.4268817204301075	0.7850993501231741	0.8134359704881716	0.7990165041243371	0.7142857142857143	0.21490064987682603
ELTeC-slv_cosine-d_0050	ELTeC-slv	cosine-d	0050	6.0	0.7062686567164179	0.8952222997132447	0.9007450406624621	0.8979751787562704	0.8333333333333334	0.10477770028675523
ELTeC-slv_burrows-d_0050	ELTeC-slv	burrows-d	0050	9.0	0.41953751769702696	0.7857238648681888	0.8394003010835485	0.8116756399996502	0.7380952380952381	0.21427613513181104
ELTeC-slv_eders-d_0050	ELTeC-slv	eders-d	0050	10.0	0.42761116856256465	0.7951653339847902	0.8259543070013605	0.8102674420542951	0.7142857142857143	0.20483466601520994
